duplicate,kept_image,phash_distance
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_1016_1.jpg,dataset/1900/_2020601_https___1914_1918_europeana_eu_contributions_1016.jpg,2
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_10491_attachments_113034_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_10491_attachments_113034_1.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_10491_attachments_113035_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_10491_attachments_113035_1_2.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_10623_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_10623_1_2.jpg,2
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_1084_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_1084_1.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_11412_1.jpg,dataset/1900/_2020601_https___1914_1918_europeana_eu_contributions_11412.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_11680_attachments_119399_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_11680_attachments_119399_1.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_11835_attachments_121491_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_11835_attachments_121491_1_1.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_12068_1.jpg,dataset/1900/_2020601_https___1914_1918_europeana_eu_contributions_12068.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_12558_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_12558_1.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_13016_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_13016_1_2.jpg,4
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_13052_attachments_131974_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_13052_attachments_131974_1_2.jpg,2
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_13075_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_13075_1_2.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_13521_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_13521_1_1.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_13524_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_13524_1_2.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_13652_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_13652_1_1.jpg,2
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_13951_1.jpg,dataset/1900/_2020601_https___1914_1918_europeana_eu_contributions_13951.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_14097_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_14097_1_2.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_14163_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_14163_1_2.jpg,2
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_14618_1.jpg,dataset/1900/_2020601_https___1914_1918_europeana_eu_contributions_14618.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_14688_1.jpg,dataset/1900/_2020601_https___1914_1918_europeana_eu_contributions_14688.jpg,2
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_14812_attachments_153172_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_14812_attachments_153172_1_1.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_15227_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_15227_1_2.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_1526_1.jpg,dataset/1900/_2020601_https___1914_1918_europeana_eu_contributions_1526.jpg,2
